OpenChrome _g._p._p._p._p._y._x._w._r._y._z._s._t._t._l._l._l._l._l._l.
NewTab _l._l._l._l._l._l._l._l._l._l._l._l._p._p._p._p._p._p._z._z._z._z._z._z._z._z._z.
OpenCNN _p._p._y._y._s._t._l._l._l._l._d._a._a._a._s._t._t._t._t._d._a._a._a._s._s._s._s._s._e._a._a._a
OpenGoogle _p._p._p._y._x._y._y._z._t._t._t._l._l._l._d._a._h._p._p._p.
CloseTab _x._x._x._x._x._x._x._x._x._x._x._x._x._x._a._a._a._a._a._a._a._a._a._a._t._t._t._t._t._t._t._t._t._t._t._t._t.
ZoomIn pl.pl.pl.pl.pl.pl.pl.pl.
ZoomOut lp.lp.lp.lp.lp.lp.lp.lp.
RefreshTab _a._e._d._d._l._l._t._s._s._z._y._y._y._p._p._h._h._g._a.
