HorizontalLineRight _l._l._l._l._l._l.
VerticalLineDown _z._z._z._z._z._z.
Triangle _d._d._d._d._d._d._t._t._t._t._t._t._p._p._p._p._p._p._p._p.
Square _l._l._l._l._l._l._z._z._z._z._z._z._p._p._p._p._p._p._a._a._a._a._a._a.
Circle _l._l._l._t._t._t._t._t._t._z._z._z._z._z._z._x._x._x._x._x._x._p._p._p._p._p._p._h._h._h._h._h._h._a._a._a._a._a._a._d._d._d._d._d._d._l._l._l.
ForwardLine _n._n._n._n._n._n.
BackwardLine _j._j._j._j._j._j.
PullApart pl.pl.pl.pl.pl.pl.
PushTogether lp.lp.lp.lp.lp.lp.
