Triangle _d._d._d._d._d._d._t._t._t._t._t._t._p._p._p._p._p._p._p._p.
Square _l._l._l._l._l._l._z._z._z._z._z._z._p._p._p._p._p._p._a._a._a._a._a._a.
Circle _l._l._l._t._t._t._t._t._t._z._z._z._z._z._z._x._x._x._x._x._x._p._p._p._p._p._p._h._h._h._h._h._h._a._a._a._a._a._a._d._d._d._d._d._d._l._l._l.
HorizontalLineRight _l._l._l._l._l._l.
VerticalLineDown _z._z._z._z._z._z.
G _a._a._h._h._h._h._p._h._h._h._p._p._p._p._p._p._p._p._p._p._p._x._x._x._x._x._x._x._x._x._z._z._z._z._z._z._z._z._t._z._t._t._t._t._t._t._t._l._t._l._l._l._l._l._l._d._d._d._d._d._d._d._d._d._a._a._a._a._a._a._a._a._a._a._a._p._p._p._p._p._p._p._p._p._p._p._p._p._p.
